par_pctile,w2_or_sc_nz_30_f,w2_or_sc_nz_30_m,w2_pos_30_f,w2_pos_30_m,w2_or_sc_nz_30_f_sp,w2_or_sc_nz_30_m_sp,w2_pos_30_f_sp,w2_pos_30_m_sp,w2_or_sc_nz_30_f_tp,w2_or_sc_nz_30_m_tp,w2_pos_30_f_tp,w2_pos_30_m_tp,w2_nonemp_f,w2_nonemp_m,coll1823_f,coll1823_m,kid_indv_rank_26_f,kid_indv_rank_26_m,kid_indv_rank_30_f,kid_indv_rank_30_m,kid_rank_30_f,kid_rank_30_m,w2wages_30_f,w2wages_30_m
22,0.796419385,0.774347294,0.744582776,0.739529293,0.808736143,0.752265645,0.761545679,0.724110757,0.778534665,0.805958669,0.719951559,0.761601969,0.763823439,0.77093087,0.588566419,0.424573007,0.413197319,0.443338949,0.406830167,0.441443339,0.422701939,0.390217348,24620.49641,30637.24332
23,0.803436298,0.781053913,0.752098582,0.745776584,0.813232181,0.761578735,0.766055046,0.734668473,0.789573554,0.807208182,0.732347948,0.760694267,0.770561965,0.778451659,0.596394356,0.429384894,0.41722877,0.448247013,0.412886964,0.448407523,0.428439111,0.396547198,25039.84591,30839.67402
24,0.800924784,0.784017233,0.75080148,0.750248147,0.810132474,0.762543172,0.764088793,0.735915624,0.788519055,0.812328633,0.73289918,0.769144144,0.768783395,0.781018352,0.60284362,0.437338298,0.419303482,0.45131409,0.413094531,0.44982281,0.43099295,0.397874469,25584.3191,30728.44418
25,0.799822174,0.782606871,0.749596791,0.749281232,0.807957909,0.76055379,0.76115313,0.733772129,0.789215453,0.810087203,0.734530558,0.768607118,0.768247798,0.781494617,0.60787608,0.441708091,0.422265291,0.453276818,0.416478034,0.452141206,0.435350038,0.40060429,25439.25929,31258.68279
26,0.80402281,0.790582819,0.753385174,0.758083081,0.811660035,0.770974796,0.766611608,0.743929106,0.794598601,0.814117322,0.737063974,0.775071369,0.772275791,0.789138851,0.612049007,0.449240517,0.424007392,0.458533594,0.418711755,0.457909532,0.43926954,0.407627788,25713.84925,31502.53284
27,0.805694068,0.790084101,0.754464009,0.757156939,0.812132621,0.764346042,0.765684429,0.737785145,0.798179536,0.819272255,0.741368487,0.779125453,0.773644245,0.788007802,0.616152775,0.456441756,0.42756344,0.461594898,0.421401275,0.459696259,0.443770682,0.409433238,25937.40794,31875.15451
28,0.807705061,0.794928705,0.756165292,0.759961473,0.816387631,0.772822665,0.768761079,0.744127855,0.798067253,0.818763326,0.742183742,0.777033201,0.776080739,0.79145292,0.621932329,0.460518786,0.428082213,0.463012677,0.421684496,0.462743216,0.445413559,0.411737491,25910.44606,32223.07949
29,0.804957276,0.800100673,0.755984524,0.767318945,0.818192685,0.77800206,0.773567615,0.750648816,0.790660641,0.823021706,0.736991608,0.784609469,0.774646722,0.798590575,0.62878899,0.46776606,0.432081733,0.468312391,0.424564241,0.468398281,0.448983538,0.418227046,26268.24116,32810.5945
30,0.805561906,0.804054195,0.754307568,0.76990042,0.816075787,0.781965629,0.768336574,0.754149334,0.794945698,0.825865073,0.740142022,0.785453489,0.773512356,0.802133567,0.630793391,0.473352374,0.433118326,0.471067636,0.424552253,0.472063565,0.451973841,0.423577233,26377.34615,32231.24866
31,0.808731463,0.803492083,0.757108093,0.769071907,0.815831022,0.777724748,0.769490079,0.749219021,0.801980198,0.827353449,0.74533355,0.787456306,0.777408016,0.801781505,0.640626305,0.479955875,0.435424922,0.472969132,0.428266616,0.473158081,0.458702994,0.422759289,26650.83668,33789.77506
