par_pctile,w2_or_sc_nz_30_f,w2_or_sc_nz_30_m,w2_pos_30_f,w2_pos_30_m,w2_or_sc_nz_30_f_sp,w2_or_sc_nz_30_m_sp,w2_pos_30_f_sp,w2_pos_30_m_sp,w2_or_sc_nz_30_f_tp,w2_or_sc_nz_30_m_tp,w2_pos_30_f_tp,w2_pos_30_m_tp,w2_nonemp_f,w2_nonemp_m,coll1823_f,coll1823_m,kid_indv_rank_26_f,kid_indv_rank_26_m,kid_indv_rank_30_f,kid_indv_rank_30_m,kid_rank_30_f,kid_rank_30_m,w2wages_30_f,w2wages_30_m
84,0.87244534,0.90106504,0.831004239,0.872670872,0.858270825,0.86351706,0.816818002,0.833145857,0.873240997,0.903256873,0.831800554,0.874978112,0.850791053,0.898107745,0.915675571,0.849469604,0.566998753,0.600070286,0.55448216,0.624533992,0.625141486,0.58500903,38463.95683,48045.35459
85,0.873621784,0.900675325,0.832337955,0.87254026,0.855874894,0.846588615,0.809805579,0.822769479,0.874544176,0.903610235,0.833509073,0.875240974,0.85278149,0.898888312,0.920374313,0.85637229,0.572023776,0.602722159,0.556885694,0.626723392,0.625571514,0.588417989,38863.97625,48258.75231
86,0.87506293,0.899526282,0.834787716,0.871248009,0.853574505,0.846119536,0.812661499,0.819357716,0.876163175,0.90212369,0.835920617,0.873771665,0.85419114,0.897561077,0.924884142,0.863774634,0.574025564,0.601946493,0.564274363,0.627443509,0.632648281,0.588765665,39637.01703,49498.9661
87,0.877857939,0.901052197,0.836106262,0.873158655,0.845184519,0.86377709,0.801530153,0.831932773,0.879459853,0.902876063,0.837801461,0.875175832,0.85695055,0.899669899,0.928898519,0.87017878,0.579661894,0.603875604,0.568119632,0.630217584,0.6368031,0.592849423,40232.40137,49891.71211
88,0.876873237,0.904640299,0.83517609,0.875843455,0.84366454,0.857465043,0.807201459,0.824537664,0.878469256,0.906916514,0.836520558,0.878318969,0.85645313,0.902356483,0.933271721,0.881273674,0.581051315,0.606618129,0.570622753,0.635702562,0.639474338,0.597249141,40851.85493,49475.06335
89,0.878775868,0.905050127,0.837825434,0.875202796,0.869645325,0.860410831,0.817134961,0.829598506,0.879209003,0.907131661,0.838806949,0.877329328,0.859708778,0.901888598,0.9381355,0.887793504,0.584867743,0.606757775,0.57605515,0.639611649,0.643768455,0.601522195,41357.20954,50594.50133
90,0.882432658,0.902888778,0.841485281,0.87293956,0.854886476,0.844099077,0.809476802,0.808159301,0.883647525,0.905520885,0.842896948,0.875839875,0.862167459,0.899912587,0.941807913,0.89449166,0.587830461,0.607568957,0.579830097,0.639871178,0.64399097,0.603156473,41646.10455,51416.15017
91,0.881592123,0.90416658,0.839118825,0.874378549,0.858362632,0.868762475,0.811652436,0.829840319,0.882598759,0.905706657,0.840309065,0.876315961,0.862316422,0.902668858,0.946645516,0.902389991,0.592437006,0.608959176,0.584428272,0.643672833,0.651174492,0.605499498,42581.37088,52720.83543
92,0.883199834,0.902506673,0.842484136,0.872184685,0.859813084,0.863390663,0.818795431,0.821621622,0.884176077,0.90424026,0.843472984,0.874425594,0.864683241,0.899086587,0.949640705,0.910462293,0.596332256,0.610843442,0.590792557,0.646632705,0.656051796,0.611415296,43639.4013,53483.79209
93,0.883352799,0.904057428,0.841536665,0.872055764,0.852557673,0.850526316,0.803911735,0.809473684,0.884689037,0.906260832,0.843169256,0.874631716,0.865103863,0.90093633,0.952654445,0.917753974,0.597797336,0.610931345,0.596744074,0.652405553,0.659528561,0.615835345,44402.18881,54482.06392
94,0.881916512,0.906234383,0.839943313,0.873563218,0.877086495,0.864699898,0.831562974,0.826551373,0.882124071,0.908007295,0.840303439,0.875569934,0.863055666,0.903381643,0.957357838,0.924618475,0.599793542,0.611320384,0.597587483,0.655668006,0.663696176,0.618598383,44998.64663,55465.15584
95,0.87999583,0.905505256,0.836380694,0.870787803,0.858084136,0.855903615,0.812468322,0.81686747,0.880935815,0.907744181,0.837406506,0.873221666,0.860981966,0.901633885,0.959623341,0.929780345,0.603956092,0.612855516,0.601752593,0.658833158,0.667887947,0.623667608,46266.48363,57215.31942
96,0.879295319,0.900485132,0.833022078,0.864392957,0.855980861,0.857748469,0.807655502,0.821008008,0.880352262,0.902470514,0.834172053,0.866408455,0.859042995,0.897536699,0.961492612,0.934773645,0.600821031,0.612913208,0.603567881,0.65943328,0.668936206,0.624303895,47168.39658,57847.03232
97,0.877217544,0.89713028,0.828990534,0.859981727,0.856145251,0.850912328,0.802141527,0.812194037,0.878207793,0.899392303,0.830252248,0.862320577,0.85688614,0.894264712,0.964695094,0.940875735,0.602392131,0.611759416,0.603057167,0.661551526,0.67305098,0.627983827,47726.75966,60976.19779
98,0.872093509,0.893435635,0.824984346,0.853367434,0.855126999,0.853240741,0.800094073,0.807407407,0.872881356,0.895325801,0.826140136,0.855528705,0.853683991,0.889942403,0.96729162,0.945978489,0.601818071,0.609668577,0.607969635,0.660657838,0.676054495,0.630181305,49249.9233,64000.78616
99,0.869153617,0.890428919,0.817002732,0.847578614,0.845441248,0.834002006,0.789858606,0.785356068,0.870213044,0.892871876,0.818215484,0.850272488,0.847947119,0.886849389,0.969784034,0.951777572,0.600425798,0.609267642,0.611262333,0.667162563,0.679456064,0.636735648,50365.11708,68828.06001
100,0.84607906,0.874527985,0.788283723,0.827368465,0.807117071,0.818045862,0.750902527,0.771186441,0.847707094,0.877009329,0.789845703,0.829836626,0.823221563,0.87031132,0.969705158,0.954585847,0.614812144,0.631310706,0.615524633,0.678781933,0.681685993,0.648745785,54231.84377,81073.71045
